날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 11월 23일,2019.84,2004.87,2042.06,2000.00,336.45K,1.36%
2020년 11월 20일,1992.77,2017.60,2036.52,1987.84,307.79K,-0.91%
2020년 11월 19일,2011.00,2030.50,2052.10,2002.30,388.92K,-1.64%
2020년 11월 18일,2044.60,2076.00,2103.51,2044.02,361.17K,-1.76%
2020년 11월 17일,2081.20,2080.50,2090.00,2060.30,339.11K,-1.35%
2020년 11월 16일,2109.60,2111.00,2121.10,2063.00,845.90K,2.76%
2020년 11월 13일,2052.87,1970.00,2069.89,1970.00,445.57K,4.58%
2020년 11월 12일,1962.90,1984.00,1984.50,1953.50,381.54K,-1.86%
2020년 11월 11일,2000.02,1996.95,2008.00,1955.70,441.27K,-0.37%
2020년 11월 10일,2007.40,2078.90,2099.20,1992.40,738.52K,-5.23%
2020년 11월 09일,2118.20,2042.90,2126.60,2016.40,1.65M,18.75%
2020년 11월 06일,1783.75,1721.04,1796.01,1701.09,452.33K,0.87%
2020년 11월 05일,1768.30,1743.90,1780.50,1743.90,388.20K,3.21%
2020년 11월 04일,1713.32,1702.97,1751.83,1674.80,423.35K,2.62%
2020년 11월 03일,1669.58,1622.79,1682.33,1598.78,341.14K,4.08%
2020년 11월 02일,1604.13,1653.50,1653.50,1598.01,342.74K,-1.13%
2020년 10월 30일,1622.50,1620.78,1634.96,1591.10,411.56K,-0.48%
2020년 10월 29일,1630.26,1600.00,1643.10,1589.00,340.88K,1.57%
2020년 10월 28일,1605.05,1663.17,1669.98,1602.55,420.65K,-5.46%
2020년 10월 27일,1697.70,1740.70,1740.70,1688.20,244.85K,-2.95%
2020년 10월 26일,1749.29,1775.13,1793.27,1714.12,294.67K,-4.07%
2020년 10월 23일,1823.55,1800.79,1826.16,1788.94,316.79K,1.76%
2020년 10월 22일,1792.02,1714.19,1797.37,1702.38,472.61K,5.29%
2020년 10월 21일,1702.00,1662.30,1703.10,1661.60,284.52K,1.81%
2020년 10월 20일,1671.70,1670.00,1688.50,1662.90,292.66K,1.13%
2020년 10월 19일,1653.00,1680.00,1684.00,1652.40,317.91K,-0.89%
2020년 10월 16일,1667.87,1704.00,1712.84,1667.58,416.27K,-2.01%
2020년 10월 15일,1702.10,1699.80,1708.50,1688.40,321.61K,-1.76%
2020년 10월 14일,1732.60,1789.60,1789.60,1732.00,316.89K,-2.72%
2020년 10월 13일,1780.97,1840.00,1846.98,1771.87,425.97K,-3.47%
2020년 10월 12일,1845.00,1830.83,1866.00,1826.66,356.80K,1.49%
2020년 10월 09일,1817.89,1807.00,1828.81,1786.71,264.99K,1.63%
2020년 10월 08일,1788.80,1771.80,1792.40,1756.80,262.96K,1.71%
2020년 10월 07일,1758.80,1745.90,1760.10,1733.40,215.77K,2.87%
2020년 10월 06일,1709.71,1714.09,1759.03,1700.10,329.21K,0.17%
2020년 10월 05일,1706.79,1705.28,1720.47,1662.47,316.99K,-0.23%
2020년 10월 02일,1710.71,1698.99,1720.00,1684.03,269.89K,-1.85%
2020년 10월 01일,1742.98,1735.54,1750.00,1730.00,329.95K,1.89%
2020년 09월 30일,1710.68,1682.64,1729.79,1678.99,325.79K,2.25%
2020년 09월 29일,1673.00,1700.10,1702.20,1672.30,228.59K,-1.61%
2020년 09월 28일,1700.40,1694.99,1729.25,1671.25,292.13K,2.57%
2020년 09월 25일,1657.77,1635.00,1660.74,1612.00,302.63K,0.43%
2020년 09월 24일,1650.60,1612.80,1679.60,1608.20,394.14K,0.74%
2020년 09월 23일,1638.47,1692.10,1693.09,1633.74,287.90K,-2.12%
2020년 09월 22일,1674.00,1659.00,1676.10,1625.10,434.03K,1.31%
2020년 09월 21일,1652.40,1671.10,1671.10,1633.30,656.11K,-4.61%
2020년 09월 18일,1732.28,1791.16,1794.52,1720.00,629.35K,-3.07%
2020년 09월 17일,1787.20,1780.30,1803.40,1759.00,480.61K,-1.08%
2020년 09월 16일,1806.66,1800.00,1837.83,1787.90,382.25K,1.10%
2020년 09월 15일,1787.00,1801.80,1812.00,1785.00,267.98K,0.13%
2020년 09월 14일,1784.60,1803.00,1803.00,1774.60,377.21K,0.05%
2020년 09월 11일,1783.74,1813.52,1835.02,1769.98,383.12K,-1.81%
2020년 09월 10일,1816.59,1871.00,1901.90,1811.73,339.87K,-2.91%
2020년 09월 09일,1871.10,1894.90,1894.90,1824.80,460.35K,-1.08%
2020년 09월 08일,1891.60,1894.50,1927.20,1885.20,346.98K,-1.36%
2020년 09월 04일,1917.74,1947.97,1962.60,1906.08,379.25K,-1.43%
2020년 09월 03일,1945.50,1956.00,1962.00,1909.90,428.32K,-0.17%
2020년 09월 02일,1948.73,1940.00,1955.40,1895.65,331.58K,1.03%
2020년 09월 01일,1928.86,1905.13,1937.00,1899.73,311.16K,0.96%
2020년 08월 31일,1910.45,1922.47,1936.50,1908.13,317.84K,-1.79%
2020년 08월 28일,1945.25,1896.15,1955.60,1895.23,320.79K,2.73%
2020년 08월 27일,1893.50,1892.58,1924.86,1874.27,398.85K,1.42%
2020년 08월 26일,1867.00,1835.20,1880.80,1835.20,394.37K,0.71%
2020년 08월 25일,1853.80,1837.50,1858.00,1818.80,313.18K,1.06%
2020년 08월 24일,1834.44,1803.56,1837.72,1796.94,362.42K,3.09%
2020년 08월 21일,1779.37,1763.00,1785.05,1754.67,269.83K,0.60%
2020년 08월 20일,1768.70,1753.70,1772.00,1753.70,245.89K,0.07%
2020년 08월 19일,1767.50,1783.70,1805.00,1762.00,311.76K,-0.64%
2020년 08월 18일,1778.91,1750.00,1792.00,1744.13,238.27K,1.48%
2020년 08월 17일,1752.90,1758.30,1770.00,1751.70,244.83K,-1.46%
2020년 08월 14일,1778.87,1780.00,1787.22,1768.27,262.55K,-0.79%
2020년 08월 13일,1793.00,1804.00,1820.70,1790.80,220.19K,-0.84%
2020년 08월 12일,1808.10,1816.30,1828.00,1808.10,274.15K,0.17%
2020년 08월 11일,1805.10,1818.27,1847.42,1800.01,473.49K,2.06%
2020년 08월 10일,1768.60,1759.40,1784.80,1732.70,357.23K,0.80%
2020년 08월 07일,1754.48,1813.40,1821.45,1742.00,566.05K,0.15%
2020년 08월 06일,1751.80,1709.00,1759.60,1707.20,451.07K,1.57%
2020년 08월 05일,1724.80,1684.50,1732.20,1683.90,314.52K,2.97%
2020년 08월 04일,1675.10,1641.30,1680.00,1641.00,240.22K,1.51%
2020년 08월 03일,1650.24,1665.91,1669.89,1634.69,201.32K,-0.72%
2020년 07월 31일,1662.13,1687.87,1692.25,1625.61,305.24K,-1.52%
2020년 07월 30일,1687.70,1675.10,1698.90,1658.30,205.54K,-1.16%
2020년 07월 29일,1707.54,1688.86,1724.40,1676.95,311.31K,1.53%
2020년 07월 28일,1681.75,1696.34,1702.84,1677.29,209.09K,-1.24%
2020년 07월 27일,1702.80,1674.20,1711.50,1674.20,223.88K,0.09%
2020년 07월 24일,1701.30,1678.27,1709.24,1671.96,324.87K,0.34%
2020년 07월 23일,1695.46,1721.28,1729.33,1692.15,263.75K,-1.46%
2020년 07월 22일,1720.50,1711.80,1726.80,1685.80,367.51K,0.51%
2020년 07월 21일,1711.70,1742.50,1758.80,1707.00,382.69K,-0.11%
2020년 07월 20일,1713.65,1724.01,1748.00,1700.42,308.26K,-1.07%
2020년 07월 17일,1732.19,1757.12,1757.12,1719.04,368.70K,-0.84%
2020년 07월 16일,1746.80,1765.90,1765.90,1732.00,251.76K,-2.92%
2020년 07월 15일,1799.34,1747.00,1802.73,1745.04,638.14K,6.08%
2020년 07월 14일,1696.20,1667.20,1700.70,1654.80,261.12K,0.56%
2020년 07월 13일,1686.80,1718.00,1730.80,1686.60,400.77K,-1.21%
2020년 07월 10일,1707.40,1660.68,1708.80,1652.98,323.38K,2.22%
2020년 07월 09일,1670.28,1671.90,1679.70,1627.48,406.38K,0.54%
2020년 07월 08일,1661.30,1662.00,1665.95,1633.25,332.14K,0.23%
2020년 07월 07일,1657.45,1681.36,1697.33,1654.66,267.11K,-2.72%
2020년 07월 06일,1703.80,1712.10,1728.00,1681.50,440.88K,2.03%
2020년 07월 02일,1669.98,1690.11,1714.09,1658.40,360.86K,0.67%
2020년 07월 01일,1658.79,1606.05,1670.00,1601.14,538.92K,4.18%
2020년 06월 30일,1592.30,1593.30,1602.10,1567.90,293.68K,-0.06%
2020년 06월 29일,1593.20,1565.00,1593.20,1542.60,366.05K,3.37%
2020년 06월 26일,1541.25,1597.30,1611.71,1532.83,601.78K,-4.59%
2020년 06월 25일,1615.40,1585.30,1624.00,1565.20,498.68K,0.32%
2020년 06월 24일,1610.30,1660.50,1660.50,1582.90,597.34K,-3.98%
2020년 06월 23일,1677.10,1650.10,1678.30,1642.50,363.29K,2.67%
2020년 06월 22일,1633.50,1607.00,1634.70,1595.00,333.87K,0.41%
2020년 06월 19일,1626.91,1654.00,1657.49,1600.00,754.18K,-0.09%
2020년 06월 18일,1628.30,1618.70,1652.10,1600.00,546.64K,-0.60%
2020년 06월 17일,1638.20,1678.00,1678.00,1626.70,355.08K,-2.12%
2020년 06월 16일,1673.70,1718.80,1718.90,1642.40,454.93K,1.39%
2020년 06월 15일,1650.70,1582.50,1661.50,1561.20,409.83K,1.65%
2020년 06월 12일,1623.92,1653.57,1663.99,1572.84,489.37K,2.24%
2020년 06월 11일,1588.37,1655.85,1656.76,1576.57,920.05K,-8.36%
2020년 06월 10일,1733.31,1791.95,1793.00,1717.72,536.43K,-2.51%
2020년 06월 09일,1777.97,1808.07,1818.34,1770.00,446.53K,-3.42%
2020년 06월 08일,1840.90,1845.80,1871.60,1827.00,672.07K,1.56%
2020년 06월 05일,1812.64,1826.76,1853.38,1802.85,1.03M,4.02%
2020년 06월 04일,1742.64,1714.90,1749.18,1706.00,499.35K,0.97%
