날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 05월 19일,167.07,164.90,167.75,164.23,2.06M,-0.61%
2021년 05월 18일,168.10,169.95,172.00,168.10,2.23M,-0.80%
2021년 05월 17일,169.45,170.00,170.21,166.90,2.44M,-1.37%
2021년 05월 14일,171.80,169.99,173.05,168.25,2.46M,2.43%
2021년 05월 13일,167.72,164.50,169.01,163.72,3.28M,3.54%
2021년 05월 12일,161.99,171.23,171.45,161.74,4.64M,-6.04%
2021년 05월 11일,172.40,169.75,173.38,167.82,3.90M,-0.40%
2021년 05월 10일,173.09,173.90,177.36,170.74,4.58M,-0.21%
2021년 05월 07일,173.46,175.44,180.05,172.01,6.28M,5.24%
2021년 05월 06일,164.82,170.04,170.86,162.63,3.72M,-3.57%
2021년 05월 05일,170.92,174.09,176.23,170.00,1.97M,-1.46%
2021년 05월 04일,173.45,175.46,175.55,170.44,2.13M,-0.78%
2021년 05월 03일,174.82,178.25,179.63,174.47,1.97M,-0.80%
2021년 04월 30일,176.23,177.48,178.45,174.67,1.03M,-0.92%
2021년 04월 29일,177.87,179.16,180.64,175.19,1.47M,0.15%
2021년 04월 28일,177.60,177.00,179.57,176.80,1.80M,0.29%
2021년 04월 27일,177.08,177.03,179.58,176.03,1.85M,0.23%
2021년 04월 26일,176.68,179.33,181.52,176.34,1.69M,-0.50%
2021년 04월 23일,177.56,176.66,178.67,175.07,1.56M,1.09%
2021년 04월 22일,175.65,176.60,180.05,175.00,1.98M,-0.35%
2021년 04월 21일,176.26,170.16,176.56,168.62,2.16M,3.40%
2021년 04월 20일,170.46,172.18,172.30,166.90,2.84M,-2.94%
2021년 04월 19일,175.62,173.02,177.84,173.02,2.32M,0.98%
2021년 04월 16일,173.91,172.10,174.77,170.98,2.45M,1.97%
2021년 04월 15일,170.55,171.80,172.50,169.21,1.97M,-0.68%
2021년 04월 14일,171.72,172.40,174.95,171.43,2.41M,0.46%
2021년 04월 13일,170.93,171.41,172.70,167.55,2.64M,-0.45%
2021년 04월 12일,171.71,174.64,175.12,169.55,1.78M,-1.87%
2021년 04월 09일,174.98,175.49,175.59,170.84,2.03M,0.23%
2021년 04월 08일,174.57,171.40,175.42,170.41,2.55M,1.47%
2021년 04월 07일,172.04,174.51,175.50,170.45,3.00M,-1.52%
2021년 04월 06일,174.70,175.26,177.50,174.23,1.94M,-0.75%
2021년 04월 05일,176.02,176.80,178.00,174.61,2.64M,0.05%
2021년 04월 01일,175.93,172.89,176.00,170.68,2.84M,2.21%
2021년 03월 31일,172.12,176.54,177.12,172.08,2.62M,-2.13%
2021년 03월 30일,175.87,177.32,177.32,173.46,2.58M,-0.15%
2021년 03월 29일,176.13,176.45,179.84,173.22,2.93M,-0.18%
2021년 03월 26일,176.45,176.98,177.73,170.99,3.39M,1.02%
2021년 03월 25일,174.66,163.00,175.00,163.00,3.76M,5.13%
2021년 03월 24일,166.14,169.16,172.47,166.00,2.78M,-1.35%
2021년 03월 23일,168.42,170.10,172.54,165.76,4.50M,-2.70%
2021년 03월 22일,173.09,179.25,179.86,172.47,3.34M,-3.83%
2021년 03월 19일,179.98,179.60,180.94,175.09,3.29M,-0.45%
2021년 03월 18일,180.80,184.00,187.90,180.66,5.43M,-2.41%
2021년 03월 17일,185.27,176.04,185.47,175.96,5.06M,5.04%
2021년 03월 16일,176.38,177.82,178.50,174.99,3.08M,-0.41%
2021년 03월 15일,177.10,176.35,177.21,171.50,2.44M,1.44%
2021년 03월 12일,174.59,170.02,176.10,169.79,3.54M,2.05%
2021년 03월 11일,171.08,168.88,175.18,168.85,4.80M,2.09%
2021년 03월 10일,167.58,169.07,173.00,165.51,3.90M,1.09%
2021년 03월 09일,165.77,169.38,169.38,163.01,3.56M,-1.27%
2021년 03월 08일,167.90,166.54,171.49,165.40,3.99M,0.87%
2021년 03월 05일,166.45,160.93,167.74,156.13,4.35M,5.08%
2021년 03월 04일,158.41,162.83,163.56,154.86,3.86M,-3.07%
2021년 03월 03일,163.43,161.12,166.06,158.31,2.83M,1.97%
2021년 03월 02일,160.27,161.00,164.28,160.00,2.09M,-0.60%
2021년 03월 01일,161.24,164.00,165.75,159.45,3.22M,0.15%
2021년 02월 26일,161.00,158.41,164.91,154.61,5.16M,2.43%
2021년 02월 25일,157.18,164.15,164.15,156.24,3.23M,-3.44%
2021년 02월 24일,162.78,160.55,164.58,159.61,2.91M,1.93%
2021년 02월 23일,159.69,159.83,160.87,153.12,3.68M,-0.57%
2021년 02월 22일,160.61,158.50,166.52,158.44,3.59M,1.06%
2021년 02월 19일,158.92,157.64,162.10,157.13,3.50M,1.40%
