,hotel,star,review,date,date
45,라까사 호텔 서울,1,서비스친절도,2021. 08. 02,2021. 08. 02
46,라까사 호텔 서울,5,구구구구굳,2021. 07. 25,2021. 07. 25
47,라까사 호텔 서울,5,Better than any,2021. 07. 24,2021. 07. 24
48,라까사 호텔 서울,4,직원분들 친절,2021. 07. 23,2021. 07. 23
49,라까사 호텔 서울,4,객실은 넓고 좋았으나 화장실 줄눈이 정리되지 않았고 물이 잘 안내려 갑니다. 샤워기가 머리에서 내려오는건 되는대 샤워건으로 전환이 안됩니다. 불편,2021. 07. 22,2021. 07. 22
50,라까사 호텔 서울,5,다음에도 또 오고 싶어요,2021. 07. 15,2021. 07. 15
51,라까사 호텔 서울,5,BEST OF ALL,2021. 07. 13,2021. 07. 13
52,라까사 호텔 서울,5,BEST OF BEST,2021. 07. 09,2021. 07. 09
53,라까사 호텔 서울,5,좋습니다.,2021. 07. 04,2021. 07. 04
54,라까사 호텔 서울,5,Good as always,2021. 07. 02,2021. 07. 02
55,라까사 호텔 서울,5,Best of best,2021. 07. 01,2021. 07. 01
56,라까사 호텔 서울,5,Always the BEST,2021. 06. 23,2021. 06. 23
57,라까사 호텔 서울,5,잘 쉬고 갑니다~~,2021. 06. 19,2021. 06. 19
58,라까사 호텔 서울,5,Best in Gangnam,2021. 06. 17,2021. 06. 17
59,라까사 호텔 서울,5,잘 쉬다갑니다,2021. 06. 16,2021. 06. 16
60,라까사 호텔 서울,4,이틀째부터 갑자기 화장실에서 하수구냄새가 났습니다ㅜㅜ,2021. 06. 13,2021. 06. 13
61,라까사 호텔 서울,5,신사올때마다 오려규요,2021. 06. 11,2021. 06. 11
62,라까사 호텔 서울,5,ㅇㅇㅇㅇㅇㅇ,2021. 06. 08,2021. 06. 08
63,라까사 호텔 서울,2,위치 빼고 다 별로에요 정말.. 객실 관리 좀 하세요 너무 더러워요,2021. 06. 04,2021. 06. 04
64,라까사 호텔 서울,4,위치는 좋지만 객실이 정말 더럽습니다. 샤워실에 머리카락이 많고 그냥 다시는 가고싶지 않아요,2021. 06. 04,2021. 06. 04
65,라까사 호텔 서울,5,좋아요 만족,2021. 06. 03,2021. 06. 03
66,라까사 호텔 서울,4,룸컨디션은 괜찮았는데 복도가 좀 그랬어요,2021. 06. 03,2021. 06. 03
67,라까사 호텔 서울,5,항상 깨끗하고 좋아요,2021. 05. 29,2021. 05. 29
68,라까사 호텔 서울,5,좋아요.ㅋㅋㅋㅋ,2021. 05. 29,2021. 05. 29
69,라까사 호텔 서울,3,"금연객실  티비뒷쪽에서 담배갑을 발견해서 룸체인지. 업글은 좋지만 옷장 위에 먼지가ㅠㅠ
아쉬운점이 많네요",2021. 05. 27,2021. 05. 27
70,라까사 호텔 서울,5,늘새로운느낌,2021. 05. 26,2021. 05. 26
71,라까사 호텔 서울,5,항상 머무는 곳이고 재방문 의사 있습니다.,2021. 05. 26,2021. 05. 26
72,라까사 호텔 서울,1,"더러워요, 세월의흔적이 아니에요. 관리 미흡. 매우 미흡. 다시안갈꺼같아요.",2021. 05. 20,2021. 05. 20
73,라까사 호텔 서울,5,청결하고아주조아요,2021. 05. 19,2021. 05. 19
74,라까사 호텔 서울,3,"너무 바쁘신거 같아요 ㅠㅠ
그말곤 다 좋았어요",2021. 05. 17,2021. 05. 17
75,라까사 호텔 서울,4,east는 조금 답답해요,2021. 05. 17,2021. 05. 17
76,라까사 호텔 서울,5,침구류가 좋고 한강에 가까워서 좋습니다!! 아주 편해요!!,2021. 05. 16,2021. 05. 16
77,라까사 호텔 서울,5,깔끔하고 모던한 인테리어까지 편히쉬었읍니다,2021. 05. 16,2021. 05. 16
